iter	Passed	Remaining
0	53	5336
1	55	2730
2	57	1856
3	59	1416
4	60	1150
5	62	971
6	63	844
7	64	746
8	66	672
9	67	611
10	70	567
11	72	534
12	74	499
13	76	469
14	77	441
15	79	416
16	80	395
17	82	377
18	84	360
19	86	344
20	87	329
21	89	316
22	90	303
23	91	291
24	93	280
25	94	269
26	96	259
27	97	250
28	99	242
29	101	236
30	104	231
31	104	223
32	106	215
33	107	208
34	108	202
35	110	195
36	111	189
37	112	183
38	113	178
39	115	172
40	116	167
41	117	162
42	118	157
43	119	152
44	120	147
45	121	142
46	122	138
47	123	133
48	124	129
49	125	125
50	126	121
51	127	117
52	127	113
53	128	109
54	129	106
55	130	102
56	131	98
57	131	95
58	132	91
59	132	88
60	133	85
61	134	82
62	134	79
63	135	76
64	135	73
65	136	70
66	136	67
67	137	64
68	137	61
69	138	59
70	138	56
71	139	54
72	139	51
73	140	49
74	140	46
75	141	44
76	141	42
77	142	40
78	143	38
79	144	36
80	144	33
81	145	31
82	146	30
83	147	28
84	147	26
85	148	24
86	148	22
87	149	20
88	149	18
89	150	16
90	150	14
91	150	13
92	151	11
93	151	9
94	152	8
95	152	6
96	153	4
97	153	3
98	154	1
99	154	0
