iter	RMSE
0	613.6993387
1	480.5732477
2	372.9665121
3	302.0505117
4	237.7228362
5	188.6774427
6	148.3633926
7	117.6065647
8	93.1447411
9	74.99696336
10	61.18764445
11	51.00646929
12	43.58341952
13	37.79538285
14	32.57225127
15	28.76973344
16	26.26225425
17	24.13222724
18	22.28942228
19	21.18273743
20	20.10286981
21	19.1561099
22	18.88606388
23	17.94643285
24	17.33695827
25	17.02823737
26	16.67383119
27	16.02883736
28	15.47277885
29	14.7352878
30	14.07379317
31	13.79089733
32	13.36165737
33	13.20470439
34	12.79123595
35	12.64187266
36	12.35370789
37	12.01829069
38	11.71953536
39	11.36186127
40	10.97150764
41	10.61991173
42	10.32788141
43	10.19347705
44	9.969264149
45	9.734423252
46	9.572630804
47	9.343747177
48	9.206331503
49	9.004263509
50	8.83470053
51	8.688044828
52	8.47783215
53	8.177810475
54	8.131054535
55	8.066366391
56	7.956210659
57	7.871650066
58	7.789714156
59	7.663532675
60	7.576641575
61	7.492288455
62	7.29365287
63	7.188620666
64	7.035474021
65	6.965031718
66	6.822468345
67	6.744925328
68	6.72180882
69	6.617322164
70	6.574184795
71	6.534381232
72	6.47328216
73	6.345946422
74	6.316735372
75	6.307109245
76	6.216240614
77	6.148559571
78	6.055074717
79	5.977495983
80	5.907567895
81	5.867974951
82	5.780202447
83	5.630943905
84	5.541419117
85	5.486811079
86	5.433466869
87	5.391758624
88	5.353870633
89	5.303445192
90	5.280827197
91	5.251617624
92	5.181834765
93	5.150105666
94	5.118080089
95	5.096209931
96	5.052349445
97	4.998337179
98	4.935450375
99	4.880019261
